## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
Dpse\GA11996	Dpse	FBgn0072044		GA11996	
Dpse\GA11997	Dpse	FBgn0072045		GA11997	
Dpse\GA11998	Dpse	FBgn0072046		GA11998	
Dpse\GA18556	Dpse	FBgn0078558		GA18556	
Dpse\GA10673	Dpse	FBgn0070729		GA10673	
Dpse\GA28365	Dpse	FBgn0249726	FBgn0072049	GA28365	GA12001
Dpse\GA28366	Dpse	FBgn0249727		GA28366	
Dpse\GA12592	Dpse	FBgn0072638		GA12592	
Dpse\GA14227	Dpse	FBgn0074256		GA14227	
Dpse\GA28369	Dpse	FBgn0249730		GA28369	
Dpse\GA28370	Dpse	FBgn0249731		GA28370	
Dpse\GA28371	Dpse	FBgn0249732		GA28371	
Dpse\GA12007	Dpse	FBgn0072055		GA12007	
Dpse\GA13402	Dpse	FBgn0073439		GA13402	
Dpse\GA16280	Dpse	FBgn0076296		GA16280	
Dpse\GA12022	Dpse	FBgn0072070		GA12022	
Dpse\GA18598	Dpse	FBgn0078599		GA18598	
Dpse\GA12458	Dpse	FBgn0072504		GA12458	
Dpse\GA20330	Dpse	FBgn0080325		GA20330	
Dpse\GA28377	Dpse	FBgn0249738		GA28377	
Dpse\GA20325	Dpse	FBgn0080320		GA20325	
Dpse\GA28379	Dpse	FBgn0249740	FBgn0076862	GA28379	GA16848
Dpse\GA28380	Dpse	FBgn0249741	FBgn0076862	GA28380	GA16848
Dpse\GA20942	Dpse	FBgn0080931		GA20942	
Dpse\GA15423	Dpse	FBgn0075440		GA15423	
Dpse\GA20934	Dpse	FBgn0080923		GA20934	
Dpse\GA20886	Dpse	FBgn0080876		GA20886	
Dpse\GA28384	Dpse	FBgn0249745	FBgn0071496,FBgn0080070	GA28384	GA11445,GA20074
Dpse\GA28385	Dpse	FBgn0249746	FBgn0080070	GA28385	GA20074
Dpse\GA17247	Dpse	FBgn0077260		GA17247	
Dpse\GA28387	Dpse	FBgn0249748		GA28387	
Dpse\GA12594	Dpse	FBgn0072640		GA12594	
Dpse\GA28390	Dpse	FBgn0249751		GA28390	
Dpse\GA28391	Dpse	FBgn0249752		GA28391	
Dpse\GA14888	Dpse	FBgn0074914		GA14888	
Dpse\GA15433	Dpse	FBgn0075450		GA15433	
Dpse\GA11549	Dpse	FBgn0071600		GA11549	
Dpse\GA12597	Dpse	FBgn0072643		GA12597	
Dpse\GA16840	Dpse	FBgn0076854		GA16840	
Dpse\GA28393	Dpse	FBgn0249754		GA28393	
Dpse\GA14626	Dpse	FBgn0074653		GA14626	
Dpse\GA28395	Dpse	FBgn0249756		GA28395	
Dpse\GA21581	Dpse	FBgn0081567		GA21581	
Dpse\GA28418	Dpse	FBgn0249778		GA28418	
Dpse\GA21583	Dpse	FBgn0081569		GA21583	CG9160
Dpse\GA11981	Dpse	FBgn0072030		GA11981	
Dpse\GA21956	Dpse	FBgn0081941		GA21956	
Dpse\GA21959	Dpse	FBgn0081944		GA21959	
Dpse\GA20548	Dpse	FBgn0080542		GA20548	
Dpse\GA10998	Dpse	FBgn0071054		GA10998	
Dpse\GA11664	Dpse	FBgn0071714		GA11664	
Dpse\GA28446	Dpse	FBgn0249806		GA28446	
Dpse\GA28447	Dpse	FBgn0249807		GA28447	
Dpse\GA15438	Dpse	FBgn0075455		GA15438	
Dpse\GA11336	Dpse	FBgn0071390		GA11336	
Dpse\GA19967	Dpse	FBgn0079963		GA19967	
Dpse\OrN	Dpse	FBgn0083523		GA28396	OrN
Dpse\GA14305	Dpse	FBgn0074333		GA14305	
Dpse\GA14317	Dpse	FBgn0074345		GA14317	
Dpse\GA16932	Dpse	FBgn0076946		GA16932	
Dpse\GA15440	Dpse	FBgn0075457		GA15440	
Dpse\GA28401	Dpse	FBgn0249761		GA28401	
Dpse\GA12591	Dpse	FBgn0072637		GA12591	
Dpse\GA19905	Dpse	FBgn0079901		GA19905	
Dpse\GA28402	Dpse	FBgn0249762		GA28402	
Dpse\GA28422	Dpse	FBgn0249782		GA28422	
Dpse\GA28404	Dpse	FBgn0249764		GA28404	
Dpse\GA28405	Dpse	FBgn0249765		GA28405	
Dpse\GA28406	Dpse	FBgn0249766		GA28406	
Dpse\GA28407	Dpse	FBgn0249767		GA28407	
Dpse\GA28408	Dpse	FBgn0249768		GA28408	
Dpse\GA28409	Dpse	FBgn0249769		GA28409	
Dpse\GA11118	Dpse	FBgn0071173		GA11118	
Dpse\GA28410	Dpse	FBgn0249770		GA28410	
Dpse\GA21603	Dpse	FBgn0081589		GA21603	
Dpse\GA21564	Dpse	FBgn0081550		GA21564	
Dpse\GA16831	Dpse	FBgn0076845		GA16831	
Dpse\GA28413	Dpse	FBgn0249773		GA28413	
Dpse\GA21567	Dpse	FBgn0081553		GA21567	
Dpse\GA28415	Dpse	FBgn0249775		GA28415	
Dpse\GA28416	Dpse	FBgn0249776		GA28416	
Dpse\GA21570	Dpse	FBgn0081556		GA21570	
Dpse\GA21575	Dpse	FBgn0081561		GA21575	
Dpse\GA21576	Dpse	FBgn0081562		GA21576	
Dpse\GA15373	Dpse	FBgn0075392		GA15373	
Dpse\GA28417	Dpse	FBgn0249777		GA28417	
Dpse\GA20549	Dpse	FBgn0080543		GA20549	
Dpse\GA28419	Dpse	FBgn0249779		GA28419	
Dpse\GA20625	Dpse	FBgn0080619		GA20625	
Dpse\GA28420	Dpse	FBgn0249780		GA28420	
Dpse\GA20635	Dpse	FBgn0080629		GA20635	
Dpse\GA11088	Dpse	FBgn0071143		GA11088	
Dpse\GA11715	Dpse	FBgn0071765		GA11715	
Dpse\GA13404	Dpse	FBgn0073441		GA13404	
Dpse\GA10608	Dpse	FBgn0070665		GA10608	
Dpse\GA16826	Dpse	FBgn0076840		GA16826	
Dpse\GA12998	Dpse	FBgn0073036		GA12998	
Dpse\GA15168	Dpse	FBgn0075193		GA15168	
Dpse\GA15189	Dpse	FBgn0075214		GA15189	
Dpse\GA12637	Dpse	FBgn0072683		GA12637	
Dpse\GA28423	Dpse	FBgn0249783	FBgn0073995	GA28423	GA13963
Dpse\GA11021	Dpse	FBgn0071077		GA11021	
Dpse\GA10915	Dpse	FBgn0070971		GA10915	
Dpse\GA28443	Dpse	FBgn0249803		GA28443	
Dpse\GA10904	Dpse	FBgn0070960		GA10904	
Dpse\GA12812	Dpse	FBgn0072857		GA12812	
Dpse\GA12811	Dpse	FBgn0072856		GA12811	
Dpse\GA11004	Dpse	FBgn0071060		GA11004	
Dpse\GA10999	Dpse	FBgn0071055		GA10999	
Dpse\GA28425	Dpse	FBgn0249785		GA28425	
Dpse\GA20149	Dpse	FBgn0080145		GA20149	
Dpse\GA28455	Dpse	FBgn0249815		GA28455	
Dpse\GA28457	Dpse	FBgn0249817		GA28457	
Dpse\GA10859	Dpse	FBgn0070915		GA10859	
Dpse\GA16916	Dpse	FBgn0076930		GA16916	
Dpse\GA28467	Dpse	FBgn0249827		GA28467	
Dpse\GA28428	Dpse	FBgn0249788		GA28428	
Dpse\GA12996	Dpse	FBgn0073034		GA12996	
Dpse\GA28430	Dpse	FBgn0249790		GA28430	
Dpse\GA28431	Dpse	FBgn0249791		GA28431	
Dpse\GA28436	Dpse	FBgn0249796		GA28436	
Dpse\GA13001	Dpse	FBgn0073039		GA13001	
Dpse\GA28438	Dpse	FBgn0249798		GA28438	
Dpse\GA28439	Dpse	FBgn0249799		GA28439	
Dpse\GA28440	Dpse	FBgn0249800		GA28440	
Dpse\GA11010	Dpse	FBgn0071066		GA11010	
Dpse\GA11005	Dpse	FBgn0071061		GA11005	
Dpse\GA19953	Dpse	FBgn0079949		GA19953	CG6914
Dpse\GA28449	Dpse	FBgn0249809		GA28449	
Dpse\GA28451	Dpse	FBgn0249811		GA28451	
Dpse\GA28452	Dpse	FBgn0249812		GA28452	
Dpse\GA28453	Dpse	FBgn0249813		GA28453	
Dpse\GA28458	Dpse	FBgn0249818		GA28458	
Dpse\GA28459	Dpse	FBgn0249819		GA28459	
Dpse\GA28460	Dpse	FBgn0249820		GA28460	
Dpse\GA12999	Dpse	FBgn0073037		GA12999	
Dpse\GA16906	Dpse	FBgn0076920		GA16906	
Dpse\GA28469	Dpse	FBgn0249829	FBgn0080593	GA28469	GA20599
Dpse\GA20756	Dpse	FBgn0080746		GA20756	
Dpse\GA11341	Dpse	FBgn0071395		GA11341	
Dpse\GA12628	Dpse	FBgn0072674		GA12628	
Dpse\GA13399	Dpse	FBgn0073436		GA13399	
Dpse\GA10597	Dpse	FBgn0070654		GA10597	
Dpse\GA28471	Dpse	FBgn0249831		GA28471	
Dpse\GA13403	Dpse	FBgn0073440		GA13403	
Dpse\GA28472	Dpse	FBgn0249832		GA28472	
Dpse\GA13405	Dpse	FBgn0073442		GA13405	
Dpse\GA28474	Dpse	FBgn0249834		GA28474	
Dpse\GA10932	Dpse	FBgn0070988		GA10932	
Dpse\GA28473	Dpse	FBgn0249833		GA28473	
Dpse\GA12729	Dpse	FBgn0072775		GA12729	
Dpse\GA16838	Dpse	FBgn0076852		GA16838	
Dpse\GA19762	Dpse	FBgn0079758		GA19762	
Dana\GF27181	Dana	FBgn0274404		GF27181	
Dpse\GA21979	Dpse	FBgn0081964		GA21979	
Dpse\GA14343	Dpse	FBgn0074371		GA14343	
Dpse\GA28476	Dpse	FBgn0249836		GA28476	
Dpse\GA28477	Dpse	FBgn0249837	FBgn0075324	GA28477	GA15304
Dpse\GA28478	Dpse	FBgn0249838	FBgn0075324,FBgn0075326	GA28478	GA15304,GA15306
Dpse\GA21597	Dpse	FBgn0081583		GA21597	
Dpse\GA21598	Dpse	FBgn0081584		GA21598	
Dpse\GA15339	Dpse	FBgn0075359		GA15339	
Dpse\GA15321	Dpse	FBgn0075341		GA15321	
Dpse\GA21600	Dpse	FBgn0081586		GA21600	
Dpse\GA21601	Dpse	FBgn0081587		GA21601	
Dpse\GA28479	Dpse	FBgn0249839		GA28479	
Dpse\GA28480	Dpse	FBgn0249840		GA28480	
Dpse\GA28481	Dpse	FBgn0249841		GA28481	
Dpse\GA28482	Dpse	FBgn0249842		GA28482	
Dpse\GA20054	Dpse	FBgn0080050		GA20054	
Dpse\GA20057	Dpse	FBgn0080053		GA20057	
Dpse\GA28486	Dpse	FBgn0249846		GA28486	
Dpse\GA20060	Dpse	FBgn0080056		GA20060	
Dpse\GA28487	Dpse	FBgn0249847		GA28487	
Dpse\GA28488	Dpse	FBgn0249848		GA28488	
Dpse\GA11530	Dpse	FBgn0071581		GA11530	
Dpse\GA21982	Dpse	FBgn0081967		GA21982	
Dpse\GA11051	Dpse	FBgn0071106		GA11051	
Dpse\GA11379	Dpse	FBgn0071433		GA11379	
Dpse\GA28491	Dpse	FBgn0249851		GA28491	
Dpse\GA20026	Dpse	FBgn0080022		GA20026	
Dpse\GA20037	Dpse	FBgn0080033		GA20037	
Dpse\GA16837	Dpse	FBgn0076851		GA16837	
Dpse\Atg5	Dpse	FBgn0243547	FBgn0074100,FBgn0083558	GA14069	Atg5
Dpse\GA12971	Dpse	FBgn0073009		GA12971	
Dpse\GA28492	Dpse	FBgn0249852		GA28492	
Dpse\GA14344	Dpse	FBgn0074372		GA14344	
Dpse\GA28516	Dpse	FBgn0249876		GA28516	
Dpse\GA16849	Dpse	FBgn0076863		GA16849	
Dpse\GA11991	Dpse	FBgn0072039		GA11991	
Dpse\GA20043	Dpse	FBgn0080039		GA20043	
Dpse\GA14911	Dpse	FBgn0074937		GA14911	
Dpse\GA18352	Dpse	FBgn0078357		GA18352	
Dpse\GA20049	Dpse	FBgn0080045		GA20049	
Dpse\GA20782	Dpse	FBgn0080772		GA20782	
Dpse\GA28494	Dpse	FBgn0249854		GA28494	
Dpse\GA28495	Dpse	FBgn0249855		GA28495	
Dpse\GA20784	Dpse	FBgn0080774		GA20784	
Dpse\GA20831	Dpse	FBgn0080821		GA20831	
Dpse\GA20834	Dpse	FBgn0080824		GA20834	
Dpse\GA20832	Dpse	FBgn0080822		GA20832	
Dpse\GA28498	Dpse	FBgn0249858	FBgn0074736	GA28498	GA14709
Dpse\GA20318	Dpse	FBgn0080313		GA20318	
Dpse\GA18535	Dpse	FBgn0078537		GA18535	
Dpse\GA28517	Dpse	FBgn0249877		GA28517	
Dpse\GA11512	Dpse	FBgn0071563		GA11512	
Dpse\GA18471	Dpse	FBgn0078473		GA18471	
Dpse\GA28526	Dpse	FBgn0249886		GA28526	
Dpse\GA13435	Dpse	FBgn0073471		GA13435	
Dpse\GA12973	Dpse	FBgn0073011		GA12973	
Dpse\GA18885	Dpse	FBgn0078885		GA18885	
Dpse\GA11524	Dpse	FBgn0071575		GA11524	
Dpse\GA28500	Dpse	FBgn0249860		GA28500	
Dpse\GA18908	Dpse	FBgn0078908		GA18908	
Dpse\GA28501	Dpse	FBgn0249861		GA28501	
Dpse\GA28502	Dpse	FBgn0249862		GA28502	
Dpse\GA28503	Dpse	FBgn0249863		GA28503	
Dpse\GA18605	Dpse	FBgn0078606		GA18605	
Dpse\GA16720	Dpse	FBgn0076735		GA16720	
Dpse\GA16719	Dpse	FBgn0076734		GA16719	
Dpse\GA28508	Dpse	FBgn0249868		GA28508	
Dpse\GA28509	Dpse	FBgn0249869		GA28509	
Dpse\GA28510	Dpse	FBgn0249870		GA28510	
Dpse\GA17255	Dpse	FBgn0077268		GA17255	
Dpse\GA12009	Dpse	FBgn0072057		GA12009	
Dpse\GA12008	Dpse	FBgn0072056		GA12008	
Dpse\GA18581	Dpse	FBgn0078582		GA18581	
Dpse\GA17551	Dpse	FBgn0077562		GA17551	
Dpse\GA28521	Dpse	FBgn0249881		GA28521	
Dpse\GA18101	Dpse	FBgn0078109		GA18101	
Dpse\GA18047	Dpse	FBgn0078055		GA18047	
Dpse\GA17985	Dpse	FBgn0077994		GA17985	
Dpse\GA17993	Dpse	FBgn0078002		GA17993	
Dpse\GA18020	Dpse	FBgn0078029		GA18020	
Dpse\GA28522	Dpse	FBgn0249882		GA28522	
Dpse\GA28523	Dpse	FBgn0249883		GA28523	
Dpse\GA28531	Dpse	FBgn0249891		GA28531	
Dpse\GA17789	Dpse	FBgn0077798		GA17789	
Dpse\GA28532	Dpse	FBgn0249892		GA28532	
Dpse\GA10942	Dpse	FBgn0070998		GA10942	
Dpse\GA10945	Dpse	FBgn0071001		GA10945	
Dpse\GA12086	Dpse	FBgn0072134		GA12086	
Dpse\GA11796	Dpse	FBgn0071845		GA11796	
Dpse\GA12099	Dpse	FBgn0072147		GA12099	
Dpse\GA14827	Dpse	FBgn0074854		GA14827	
Dpse\GA19839	Dpse	FBgn0079835		GA19839	
Dpse\GA17655	Dpse	FBgn0077666		GA17655	
Dpse\GA17503	Dpse	FBgn0077514		GA17503	
Dpse\GA16627	Dpse	FBgn0076642		GA16627	
Dpse\GA28557	Dpse	FBgn0249917		GA28557	
Dpse\GA12808	Dpse	FBgn0072853		GA12808	
Dpse\GA21319	Dpse	FBgn0081307		GA21319	
Dpse\GA10083	Dpse	FBgn0070142		GA10083	
Dpse\GA28527	Dpse	FBgn0249887	FBgn0073472,FBgn0073473	GA28527	GA13436,GA13437
Dpse\GA20359	Dpse	FBgn0080354		GA20359	
Dpse\GA20363	Dpse	FBgn0080358		GA20363	
Dpse\GA10936	Dpse	FBgn0070992		GA10936	
Dpse\GA13439	Dpse	FBgn0073475		GA13439	
Dpse\GA10937	Dpse	FBgn0070993		GA10937	
Dpse\GA28567	Dpse	FBgn0249927		GA28567	
Dpse\GA28529	Dpse	FBgn0249889		GA28529	
Dpse\GA11716	Dpse	FBgn0071766		GA11716	
Dpse\GA28530	Dpse	FBgn0249890		GA28530	
Dpse\GA28544	Dpse	FBgn0249904	FBgn0074380	GA28544	GA14352
Dpse\GA10408	Dpse	FBgn0070465		GA10408	
Dpse\GA10938	Dpse	FBgn0070994		GA10938	
Dpse\GA20374	Dpse	FBgn0080369		GA20374	
Dpse\GA16633	Dpse	FBgn0076648		GA16633	
Dpse\GA28525	Dpse	FBgn0249885		GA28525	
Dpse\GA16777	Dpse	FBgn0076791		GA16777	
Dpse\GA11032	Dpse	FBgn0071088		GA11032	
Dpse\GA28566	Dpse	FBgn0249926		GA28566	
Dpse\GA10272	Dpse	FBgn0070330		GA10272	
Dpse\GA28536	Dpse	FBgn0249896		GA28536	
Dpse\GA12478	Dpse	FBgn0072524		GA12478	
Dpse\GA28539	Dpse	FBgn0249899	FBgn0076792	GA28539	GA16778
Dpse\GA10060	Dpse	FBgn0070119		GA10060	
Dpse\GA10063	Dpse	FBgn0070122		GA10063	
Dpse\GA20381	Dpse	FBgn0080376		GA20381	
Dpse\GA15211	Dpse	FBgn0075235		GA15211	
Dpse\GA14823	Dpse	FBgn0074850		GA14823	
Dpse\GA12471	Dpse	FBgn0072517		GA12471	
Dpse\GA20395	Dpse	FBgn0080390		GA20395	
Dpse\GA13393	Dpse	FBgn0073430		GA13393	
Dpse\GA14642	Dpse	FBgn0074669		GA14642	
Dpse\GA11782	Dpse	FBgn0071831		GA11782	
Dpse\GA21201	Dpse	FBgn0081189		GA21201	
Dpse\GA28546	Dpse	FBgn0249906		GA28546	
Dpse\GA21189	Dpse	FBgn0081177		GA21189	
Dpse\GA11900	Dpse	FBgn0071949		GA11900	
Dpse\GA10341	Dpse	FBgn0070399		GA10341	
Dpse\GA10345	Dpse	FBgn0070403		GA10345	
Dpse\GA16885	Dpse	FBgn0076899		GA16885	
Dpse\GA16884	Dpse	FBgn0076898		GA16884	
Dpse\GA10349	Dpse	FBgn0070407		GA10349	
Dpse\GA14530	Dpse	FBgn0074558		GA14530	
Dpse\GA28577	Dpse	FBgn0249937		GA28577	
Dpse\GA28548	Dpse	FBgn0249908		GA28548	
Dpse\GA10383	Dpse	FBgn0070440		GA10383	
Dpse\GA15241	Dpse	FBgn0075265		GA15241	
Dpse\GA15243	Dpse	FBgn0075267		GA15243	
Dpse\GA19562	Dpse	FBgn0079558		GA19562	
Dpse\GA28584	Dpse	FBgn0249944	FBgn0077537,FBgn0077533	GA28584	GA17526,GA17522
Dpse\Or63a	Dpse	FBgn0082136		GA22157	Or63a
Dpse\GA15246	Dpse	FBgn0075270		GA15246	
Dpse\GA15251	Dpse	FBgn0075275		GA15251	
Dpse\GA28581	Dpse	FBgn0249941		GA28581	
Dpse\GA28552	Dpse	FBgn0249912		GA28552	
Dpse\GA28553	Dpse	FBgn0249913		GA28553	
Dpse\GA10400	Dpse	FBgn0070457		GA10400	
Dpse\GA16939	Dpse	FBgn0076953		GA16939	
Dpse\GA11767	Dpse	FBgn0071816		GA11767	
Dpse\GA14127	Dpse	FBgn0074156		GA14127	
Dpse\GA11027	Dpse	FBgn0071083		GA11027	
Dpse\GA28554	Dpse	FBgn0249914		GA28554	
Dpse\GA28549	Dpse	FBgn0249909		GA28549	
Dpse\GA13965	Dpse	FBgn0073997		GA13965	
Dpse\GA11033	Dpse	FBgn0071089		GA11033	
Dpse\GA11104	Dpse	FBgn0071159		GA11104	
Dpse\GA15220	Dpse	FBgn0075244		GA15220	
Dpse\GA11213	Dpse	FBgn0071267		GA11213	
Dpse\GA12624	Dpse	FBgn0072670		GA12624	
Dpse\GA16827	Dpse	FBgn0076841		GA16827	
Dpse\GA28561	Dpse	FBgn0249921		GA28561	
Dpse\GA20722	Dpse	FBgn0080713		GA20722	
Dpse\GA19040	Dpse	FBgn0079038		GA19040	
Dpse\GA19098	Dpse	FBgn0079096		GA19098	
Dpse\GA28563	Dpse	FBgn0249923		GA28563	
Dpse\GA28564	Dpse	FBgn0249924		GA28564	
Dpse\GA28565	Dpse	FBgn0249925		GA28565	
Dpse\GA19247	Dpse	FBgn0079244		GA19247	
Dpse\GA16669	Dpse	FBgn0076684		GA16669	
Dpse\GA20236	Dpse	FBgn0080231		GA20236	
Dpse\GA28575	Dpse	FBgn0249935		GA28575	
Dpse\GA19263	Dpse	FBgn0079260		GA19263	
Dpse\GA11976	Dpse	FBgn0072025		GA11976	
Dpse\GA11098	Dpse	FBgn0071153		GA11098	
Dpse\GA28568	Dpse	FBgn0249928		GA28568	
Dpse\GA19305	Dpse	FBgn0079302		GA19305	
Dpse\GA12610	Dpse	FBgn0072656		GA12610	
Dpse\GA28570	Dpse	FBgn0249930		GA28570	
Dpse\GA28572	Dpse	FBgn0249932		GA28572	
Dpse\GA12609	Dpse	FBgn0072655		GA12609	
Dpse\GA12608	Dpse	FBgn0072654		GA12608	
Dpse\GA17139	Dpse	FBgn0077153		GA17139	
Dpse\GA16937	Dpse	FBgn0076951		GA16937	
Dpse\GA17392	Dpse	FBgn0077405		GA17392	
Dpse\GA17411	Dpse	FBgn0077424		GA17411	
Dpse\GA17418	Dpse	FBgn0077431		GA17418	
Dpse\GA28573	Dpse	FBgn0249933		GA28573	
Dpse\GA14371	Dpse	FBgn0074399		GA14371	
Dpse\GA17428	Dpse	FBgn0077441		GA17428	
Dpse\GA16604	Dpse	FBgn0076619		GA16604	
Dpse\GA21595	Dpse	FBgn0081581		GA21595	
Dpse\GA28576	Dpse	FBgn0249936		GA28576	
Dpse\GA16726	Dpse	FBgn0076741		GA16726	
Dpse\GA22147	Dpse	FBgn0082127		GA22147	
Dpse\GA11985	Dpse	FBgn0064442		GA11985	CG13030
Dpse\GA22148	Dpse	FBgn0064421		GA22148	CG9951
Dpse\GA28580	Dpse	FBgn0249940	FBgn0076746,FBgn0064432	GA28580	GA16731,CG32171
Dpse\GA11127	Dpse	FBgn0071182		GA11127	
Dpse\GA17694	Dpse	FBgn0077704		GA17694	
Dpse\GA11982	Dpse	FBgn0072031		GA11982	
Dpse\GA21960	Dpse	FBgn0081945		GA21960	
Dpse\GA28583	Dpse	FBgn0249943		GA28583	
Dpse\GA21961	Dpse	FBgn0081946		GA21961	
Dpse\GA28585	Dpse	FBgn0249945		GA28585	
Dpse\GA28586	Dpse	FBgn0249946		GA28586	
Dpse\GA28587	Dpse	FBgn0249947	FBgn0077806,FBgn0071545	GA28587	GA17797,GA11494
Dpse\GA28588	Dpse	FBgn0249948	FBgn0071545	GA28588	GA11494
Dpse\GA28589	Dpse	FBgn0249949		GA28589	
Dpse\GA10055	Dpse	FBgn0070114		GA10055	
Dpse\GA10077	Dpse	FBgn0070136		GA10077	
Dpse\GA28591	Dpse	FBgn0249951	FBgn0077537	GA28591	GA17526
Dpse\GA28596	Dpse	FBgn0249956	FBgn0076881	GA28596	GA16867
Dpse\GA10073	Dpse	FBgn0070132		GA10073	
Dpse\GA28597	Dpse	FBgn0249957		GA28597	
Dpse\GA10085	Dpse	FBgn0070144		GA10085	
Dpse\GA10088	Dpse	FBgn0070147		GA10088	
Dpse\GA28598	Dpse	FBgn0249958		GA28598	
Dpse\GA28599	Dpse	FBgn0249959		GA28599	
Dpse\GA10092	Dpse	FBgn0070151		GA10092	
Dpse\GA10095	Dpse	FBgn0070154		GA10095	
Dpse\GA28600	Dpse	FBgn0249960		GA28600	
Dpse\GA13394	Dpse	FBgn0073431		GA13394	
Dpse\GA11335	Dpse	FBgn0071389		GA11335	
Dpse\GA22069	Dpse	FBgn0082053		GA22069	
Dpse\GA11337	Dpse	FBgn0071391		GA11337	
Dpse\GA28604	Dpse	FBgn0249964	FBgn0070294	GA28604	GA10236
Dpse\GA28605	Dpse	FBgn0249965	FBgn0070294	GA28605	GA10236
Dpse\GA28606	Dpse	FBgn0249966	FBgn0073433,FBgn0073434	GA28606	GA13396,GA13397
Dpse\GA28607	Dpse	FBgn0249967		GA28607	
Dpse\GA10269	Dpse	FBgn0070327		GA10269	
Dpse\GA22112	Dpse	FBgn0082093		GA22112	
Dpse\GA11322	Dpse	FBgn0071376		GA11322	
Dpse\GA28610	Dpse	FBgn0249970		GA28610	
Dpse\GA28611	Dpse	FBgn0249971		GA28611	
Dpse\GA13081	Dpse	FBgn0073119		GA13081	
Dpse\GA20360	Dpse	FBgn0080355		GA20360	
Dpse\GA20367	Dpse	FBgn0080362		GA20367	
Dpse\GA20373	Dpse	FBgn0080368		GA20373	
Dpse\GA20377	Dpse	FBgn0080372		GA20377	
Dpse\GA20380	Dpse	FBgn0080375		GA20380	
Dpse\GA28628	Dpse	FBgn0249988		GA28628	
Dpse\GA12752	Dpse	FBgn0072798		GA12752	
Dpse\GA20386	Dpse	FBgn0080381		GA20386	
Dpse\GA13080	Dpse	FBgn0073118		GA13080	
Dpse\GA20389	Dpse	FBgn0080384		GA20389	
Dpse\GA11749	Dpse	FBgn0071798		GA11749	
Dpse\GA21506	Dpse	FBgn0081492		GA21506	
Dpse\GA10099	Dpse	FBgn0070158		GA10099	
Dpse\GA28613	Dpse	FBgn0249973		GA28613	
Dpse\GA28614	Dpse	FBgn0249974		GA28614	
Dpse\GA28616	Dpse	FBgn0249976		GA28616	
Dpse\GA16697	Dpse	FBgn0076712		GA16697	
Dpse\GA28617	Dpse	FBgn0249977		GA28617	
Dpse\GA20020	Dpse	FBgn0080016		GA20020	
Dpse\GA28618	Dpse	FBgn0249978		GA28618	
Dpse\GA28620	Dpse	FBgn0249980		GA28620	
Dpse\GA10514	Dpse	FBgn0070571		GA10514	
Dpse\GA16808	Dpse	FBgn0076822		GA16808	
Dpse\GA19902	Dpse	FBgn0079898		GA19902	
Dpse\GA19898	Dpse	FBgn0079894		GA19898	
Dpse\GA19896	Dpse	FBgn0079892		GA19896	
Dpse\GA19894	Dpse	FBgn0079890		GA19894	
Dpse\GA12747	Dpse	FBgn0072793		GA12747	
Dpse\GA19877	Dpse	FBgn0079873		GA19877	
Dpse\GA10306	Dpse	FBgn0070364		GA10306	
Dpse\GA11076	Dpse	FBgn0071131		GA11076	
Dpse\GA28627	Dpse	FBgn0249987		GA28627	
Dpse\GA14770	Dpse	FBgn0074797		GA14770	
Dpse\GA28629	Dpse	FBgn0249989		GA28629	
Dpse\GA28630	Dpse	FBgn0249990		GA28630	
Dpse\GA21953	Dpse	FBgn0081938		GA21953	
Dpse\GA28633	Dpse	FBgn0249993		GA28633	
Dpse\GA28634	Dpse	FBgn0249994		GA28634	
Dpse\GA28635	Dpse	FBgn0249995		GA28635	
Dpse\GA28636	Dpse	FBgn0249996		GA28636	
Dpse\GA21674	Dpse	FBgn0081659		GA21674	
Dpse\GA21677	Dpse	FBgn0081662		GA21677	
Dpse\GA28637	Dpse	FBgn0249997		GA28637	
Dpse\GA28638	Dpse	FBgn0249998		GA28638	
Dpse\GA21707	Dpse	FBgn0081692		GA21707	
Dpse\GA28639	Dpse	FBgn0249999		GA28639	
Dpse\GA16761	Dpse	FBgn0076775		GA16761	
Dpse\GA21737	Dpse	FBgn0081722		GA21737	
Dpse\GA14743	Dpse	FBgn0074770		GA14743	
Dpse\GA21741	Dpse	FBgn0081726		GA21741	
Dpse\GA21747	Dpse	FBgn0081732		GA21747	
Dpse\GA28640	Dpse	FBgn0250000		GA28640	
Dpse\GA28641	Dpse	FBgn0250001		GA28641	
Dpse\GA21307	Dpse	FBgn0081295		GA21307	
Dpse\GA12758	Dpse	FBgn0072804		GA12758	
Dpse\GA20409	Dpse	FBgn0080404		GA20409	
Dpse\GA20417	Dpse	FBgn0080412		GA20417	
Dpse\GA15086	Dpse	FBgn0075111		GA15086	
Dpse\GA19194	Dpse	FBgn0079191		GA19194	
Dpse\GA11003	Dpse	FBgn0071059		GA11003	
Dpse\GA19221	Dpse	FBgn0079218		GA19221	
Dpse\GA19257	Dpse	FBgn0079254		GA19257	
Dpse\GA19267	Dpse	FBgn0079264		GA19267	
Dpse\GA19302	Dpse	FBgn0079299		GA19302	CG6020
Dpse\GA28644	Dpse	FBgn0250004		GA28644	
